countryiso3code,country_name,year,value,indicator_code,indicator_name
AFW,Africa Western and Central,2022,17.2404073601331,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
AFW,Africa Western and Central,2019,31.479384563042,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2023,11.1252456377676,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2022,11.6212147090471,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2021,12.5962947961947,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2020,11.1948883386404,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2019,10.621859865388,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2018,10.7690899251217,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2017,11.6027194964277,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2016,12.6972199204045,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2015,13.2123919352928,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2014,14.2160174374657,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2013,14.746110220639,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2012,14.403920273148,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2011,14.2737602107031,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
CEB,Central Europe and the Baltics,2010,13.8529650510098,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EAR,Early-demographic dividend,2022,23.7434534267275,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EAR,Early-demographic dividend,2021,26.2039344806274,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EAR,Early-demographic dividend,2020,27.9191167980742,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EAR,Early-demographic dividend,2019,27.5503610237904,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EAR,Early-demographic dividend,2018,27.7190128817264,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EAR,Early-demographic dividend,2012,26.7421817837099,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EAR,Early-demographic dividend,2010,28.0628487148465,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2023,9.72242206713113,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2022,9.88513459929769,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2021,11.0787992736477,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2020,11.7212013147766,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2019,10.6968951023696,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2018,11.1623042022328,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2017,11.6547537152283,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2016,12.1723643242939,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2015,12.6475589464832,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2014,13.0712720328094,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2013,13.4941705004716,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
EMU,Euro area,2012,13.1374453647857,SL.UEM.NEET.ZS,"Share of youth not in education, employment or training, total (% of youth population)"
